 u        v      norm   direction
-3.711  -1.471   3.992   21.623
-2.242  -1.612   2.761   35.716
-1.819  -1.661   2.463   42.409
-1.616  -1.704   2.348   46.506
-1.394  -1.739   2.229   51.279
-1.068  -1.875   2.158   60.327
-0.576  -1.836   1.924   72.578
-1.570  -1.677   2.297   46.884
-1.498  -1.699   2.265   48.612
-1.354  -1.750   2.213   52.284
-1.090  -1.495   1.850   53.896
-0.604  -0.963   1.137   57.898
-0.708  -1.119   1.325   57.684
-0.491  -0.685   0.842   54.391
-0.398  -0.785   0.880   63.077
 0.179  -0.803   0.823  102.545
 0.484  -0.193   0.521  158.192
 1.508  -0.978   1.798  147.033
 1.422  -1.084   1.788  142.692
 2.588  -0.817   2.714  162.486
